"inclusionReason","patternSignature","patternReadable","eligible","ineligibleReason","manual31ColumnCount","manual65PatternCount","lpActivity","residualScarcity","coveredResidualOrders","wasteFit","structuralScore","baselineScore","baselineRank","baselineTop60","baselineTop120","lambda0Score","lambda0Rank","lambda0Top60","lambda0Top120","lambda10Score","lambda10Rank","lambda10Top60","lambda10Top120","baselineToLambda0RankDelta","baselineToLambda10RankDelta"
"TARGET_ORACLE|BASELINE_TOP120","4390|1000x1,1100x2,1190x1","{1000=1, 1100=2, 1190=1} @4390mm (pw=4390, util=100.0%)","true","","1","1","0.596879280","0.389825209","21","0.051370942","599.876579942","597479.156579942","20","true","true","599.876579942","310","false","false","605.845372742","303","false","false","290","283"
"BASELINE_TOP120","4360|980x2,1200x2","{980=2, 1200=2} @4360mm (pw=4360, util=100.0%)","true","","0","0","0.200752708","0.107000551","8","0.079784630","187.080335630","200939.788335630","35","true","true","187.080335630","2800","false","false","189.087862710","2777","false","false","2765","2742"
"BASELINE_TOP120","4390|550x3,760x1,980x1,1000x1","{550=3, 760=1, 980=1, 1000=1} @4390mm (pw=4390, util=100.0%)","true","","0","0","0.147631110","0.162774715","18","0.051370942","342.826085942","147973.936085942","36","true","true","342.826085942","949","false","false","344.302397042","940","false","false","913","904"
"BASELINE_TOP120","4360|840x2,850x2,980x1","{840=2, 850=2, 980=1} @4360mm (pw=4360, util=100.0%)","true","","0","0","0.133879656","0.211694182","15","0.079784630","361.773966630","134241.429966630","37","true","true","361.773966630","819","false","false","363.112763190","813","false","false","782","776"
"BASELINE_TOP120","4390|850x3,860x1,980x1","{850=3, 860=1, 980=1} @4390mm (pw=4390, util=100.0%)","true","","0","0","0.124838613","0.206342422","12","0.051370942","326.393792942","125165.006792942","38","true","true","326.393792942","1075","false","false","327.642179072","1070","false","false","1037","1032"
"BASELINE_TOP120","4380|1050x1,1100x2,1130x1","{1050=1, 1100=2, 1130=1} @4380mm (pw=4380, util=100.0%)","true","","0","0","0.119457004","0.357093987","15","0.105638367","507.199625367","119964.203625367","39","true","true","507.199625367","593","false","false","508.394195407","593","false","false","554","554"
"BASELINE_TOP120","4390|1060x1,1100x2,1130x1","{1060=1, 1100=2, 1130=1} @4390mm (pw=4390, util=100.0%)","true","","0","0","0.112378684","0.375469193","15","0.051370942","525.520563942","112904.204563942","40","true","true","525.520563942","539","false","false","526.644350782","533","false","false","499","493"
"BASELINE_TOP120","4380|850x3,860x1,970x1","{850=3, 860=1, 970=1} @4380mm (pw=4380, util=100.0%)","true","","0","0","0.102564103","0.119178559","8","0.105638367","199.284197367","102763.387197367","41","true","true","199.284197367","2618","false","false","200.309838397","2603","false","false","2577","2562"
"BASELINE_TOP120","4340|860x1,1100x2,1280x1","{860=1, 1100=2, 1280=1} @4340mm (pw=4340, util=100.0%)","true","","0","0","0.099605799","0.360861078","14","0.030737318","500.891815318","100106.690815318","42","true","true","500.891815318","602","false","false","501.887873308","600","false","false","560","558"
"BASELINE_TOP120","4340|980x2,1100x1,1280x1","{980=2, 1100=1, 1280=1} @4340mm (pw=4340, util=100.0%)","true","","0","0","0.086216207","0.459455755","20","0.030737318","659.486492318","86875.693492318","43","true","true","659.486492318","167","false","false","660.348654388","164","false","false","124","121"
"BASELINE_TOP120","4350|1000x1,1100x2,1150x1","{1000=1, 1100=2, 1150=1} @4350mm (pw=4350, util=100.0%)","true","","0","0","0.069954051","0.399358532","22","0.044377893","619.402909893","70573.453909893","44","true","true","619.402909893","278","false","false","620.102450403","277","false","false","234","233"
